,Away,Home,is_B2B_First_Away,is_B2B_First_Home,is_B2B_Second_Away,is_B2B_Second_Home,Away_Prob_Naive,Home_Prob_Naive,Home_Prob_Adjusted,Away_Prob_Adjusted,Home_Odds,Away_Odds,Home_Prob_Odds,Away_Prob_Odds,Home_Prob_Diff,Away_Prob_Diff,Home_Bet_Size,Away_Bet_Size,Home_Bet,Away_Bet,Potential_Payoff,Date,Won_Bet,Capital
0,Oklahoma City Thunder,Indiana Pacers,0,0,1,0,0.21297734912513944,0.2567887180294365,0.7065878388927729,0.2934121611072271,-330.0,265.0,0.7674418604651163,0.273972602739726,-0.060854021572343424,0.01943955836750111,0.0,0.002677524077033169,0.0,267.752407703317,709.5438804137898,2022-02-25,1,100709.54388041381
1,Houston Rockets,Orlando Magic,0,0,0,0,0.16161876816390736,0.2082214098701516,0.6693434283565601,0.3306565716434399,-180.0,152.0,0.6428571428571429,0.3968253968253969,0.026486285499417228,-0.06616882518195699,0.007416159939836837,0.0,741.6159939836838,0.0,412.0088855464909,2022-02-25,1,101121.55276596027
2,San Antonio Spurs,Washington Wizards,1,1,0,0,0.4686800883835022,0.256345746938423,0.32593690872197023,0.6740630912780298,124.0,-146.0,0.44642857142857145,0.5934959349593496,-0.12049166270660122,0.08056715631868018,0.0,0.019819520454395324,0.0,1981.9520454395324,1357.501400985981,2022-02-25,1,102479.05416694627
3,Toronto Raptors,Charlotte Hornets,1,0,0,0,0.5342574738543913,0.4557975820527422,0.4895344799334336,0.5104655200665664,118.0,-136.0,0.4587155963302753,0.576271186440678,0.03081888360315832,-0.06580566637411156,0.005693658157193656,0.0,569.3658157193655,0.0,671.8516625488512,2022-02-25,1,103150.90582949511
4,Miami Heat,New York Knicks,1,0,0,0,0.5805246402701587,0.3394160293408852,0.3140689911572669,0.6859310088427331,190.0,-230.0,0.3448275862068966,0.696969696969697,-0.03075859504962969,-0.011038688126963958,0.0,0.0,0.0,0.0,0.0,2022-02-25,-1,103150.90582949511
5,Philadelphia 76ers,Minnesota Timberwolves,0,0,0,1,0.5450147419380212,0.493613052812539,0.4935230919377629,0.5064769080622371,124.0,-146.0,0.44642857142857145,0.5934959349593496,0.04709452050919144,-0.0870190268971125,0.008507397253273295,0.0,850.7397253273294,0.0,1054.9172594058884,2022-02-25,0,102300.16610416779
6,New Orleans Pelicans,Phoenix Suns,0,0,0,1,0.3673982294481052,0.6327412271437798,0.8226788299067109,0.17732117009328896,-295.0,240.0,0.7468354430379747,0.29411764705882354,0.07584338686873637,-0.11679647696553458,0.02995813781315085,0.0,2995.8137813150856,0.0,1015.5300953610459,2022-02-25,0,99304.35232285273
7,Dallas Mavericks,Utah Jazz,0,0,0,0,0.5230664347254026,0.6294448503740857,0.7048905707998426,0.29510942920015737,-245.0,200.0,0.7101449275362319,0.3333333333333333,-0.005254356736389298,-0.03822390413317589,0.0,0.0,0.0,0.0,0.0,2022-02-25,-1,99304.35232285273
8,Los Angeles Clippers,Los Angeles Lakers,0,0,0,0,0.3877947685837631,0.3816346849966688,0.5724533907010266,0.42754660929897337,-120.0,102.0,0.5454545454545454,0.4950495049504951,0.02699884524648121,-0.06750289565152168,0.005939745954225861,0.0,593.9745954225862,0.0,494.9788295188218,2022-02-25,0,98710.37772743014
9,Boston Celtics,Detroit Pistons,1,1,0,0,0.632170970537893,0.2153357281696588,0.15972188728070916,0.8402781127192909,490.0,-700.0,0.16949152542372878,0.875,-0.009769638143019621,-0.03472188728070913,0.0,0.0,0.0,0.0,0.0,2022-02-26,-1,98710.37772743014
